city,lat,lon,temp,humidity,cloudiness,wind speed
bay roberts,47.6,-53.26,54.0,100,0,3.0
otautau,-46.15,168.0,52.61,66,74,13.0
adrar,20.5,-10.07,90.72,38,16,25.64
kikwit,-5.04,18.82,74.21,73,33,2.17
sosnovo-ozerskoye,52.52,111.54,48.97,93,100,8.93
ratnagiri,16.98,73.3,80.76,81,100,4.79
hailey,43.52,-114.32,65.41,40,5,1.3
port lincoln,-34.73,135.87,68.05,43,0,23.33
jurm,36.86,70.83,66.33,39,0,0.74
maloy,61.94,5.11,54.99,87,2,2.24
touros,-5.2,-35.46,75.2,94,20,5.82
pichayevo,53.24,42.2,55.54,95,0,6.4
bundaberg,-24.85,152.35,74.79,43,11,18.34
moussoro,13.64,16.49,78.62,78,77,11.25
kirkkonummi,60.12,24.44,45.97,92,0,3.51
port blair,11.67,92.75,85.75,66,96,7.74
jalu,29.03,21.55,76.48,58,0,7.65
